Id,Entrega,Respostas,,,,,Certas,Erradas,Nota
a42156,,,,,
a45741,20240415_193726_947646,1,1,1,1,1,5,0,20.0
a48045,20240415_200011_049291,1,1,1,1,1,5,0,20.0
a48155,20240417_134405_410234,1,1,1,1,1,5,0,20.0
a48570,,,,,
a48575,,,,,
a48581,,,,,
a48601,20240418_115249_531171,1,1,1,1,1,5,0,20.0
a48606,20240417_131915_737480,1,1,1,1,1,5,0,20.0
a48630,,,,,
a48636,20240417_134444_589578,1,1,1,1,1,5,0,20.0
a48918,,,,,
a49152,,,,,
a49719,20240419_142122_230188,1,1,1,1,1,5,0,20.0
a49721,,,,,
a49724,20240415_194651_735913,1,1,1,1,1,5,0,20.0
a49730,20240417_130514_634963,1,1,1,1,1,5,0,20.0
a49734,20240417_125610_199354,1,1,1,1,1,5,0,20.0
a49763,,,,,
a49773,20240417_130000_807973,1,1,1,1,1,5,0,20.0
a49774,20240417_131826_159428,1,1,1,1,1,5,0,20.0
a50029,,,,,
a50732,20240418_122307_683902,1,1,1,1,1,5,0,20.0
a50741,20240417_130627_529116,0,1,1,1,1,4,1,12.0
a50785,20240418_121210_205076,1,1,1,1,1,5,0,20.0
a50791,20240417_133858_526642,,1,1,,1,3,0,12.0
a50797,20240418_132554_677893,1,0,0,0,0,1,4,0.0
a50804,20240417_211718_965415,1,1,1,1,1,5,0,20.0
a50825,20240417_135749_283817,1,1,1,1,1,5,0,20.0
a50829,20240418_115131_270424,1,1,1,1,1,5,0,20.0
a50860,,,,,
a50950,20240417_140700_403621,1,1,1,1,1,5,0,20.0
a50980,20240417_174112_635077,1,1,1,1,1,5,0,20.0
a50988,20240417_134447_858435,0,0,0,0,0,0,5,0.0
a51035,,,,,
a51246,,,,,
a51247,,,,,
a51300,,,,,
a51319,20240417_131931_402259,1,1,1,1,1,5,0,20.0
a51322,,,,,
a51324,20240415_195925_489709,1,1,1,1,1,5,0,20.0
a51344,20240417_215747_008082,0,0,0,0,1,1,4,0.0
a51388,20240419_123048_103407,1,1,1,1,1,5,0,20.0
a51392,20240419_125803_237767,0,1,1,1,1,4,1,12.0
a51394,20240419_124809_917994,1,1,1,1,1,5,0,20.0
a51401,20240419_120957_649114,1,1,1,1,1,5,0,20.0
a51411,20240418_120936_144117,1,1,1,1,1,5,0,20.0
a51413,,,,,
a51421,20240417_134954_743816,1,1,1,1,1,5,0,20.0
a51435,20240419_124859_726368,1,1,1,1,1,5,0,20.0
a51436,,,,,
a51446,20240419_121849_315121,1,1,1,1,1,5,0,20.0
a51452,20240417_135301_888188,1,1,1,1,1,5,0,20.0
a51472,20240419_175849_406224,0,0,1,1,1,3,2,4.0
a51504,20240417_212554_136468,1,1,1,1,1,5,0,20.0
a51522,20240419_203354_475513,1,0,1,1,0,3,2,4.0
a51533,20240419_123041_086775,1,0,0,1,1,3,2,4.0
a51540,20240419_120955_570571,1,1,1,1,1,5,0,20.0
a51547,20240415_193549_510021,1,1,1,1,1,5,0,20.0
a51560,20240419_121805_961701,1,1,1,0,1,4,1,12.0
a51564,20240419_125142_727098,1,1,1,1,1,5,0,20.0
a51568,20240419_120549_326641,1,1,1,1,1,5,0,20.0
a51570,20240417_133602_947349,1,0,0,1,0,2,3,0.0
a51573,,,,,
a51576,20240419_121628_116555,0,1,1,1,1,4,1,12.0
a51579,20240418_000325_600396,1,1,1,1,1,5,0,20.0
a51581,,,,,
a51586,,,,,
a51587,20240419_231413_548548,1,1,0,1,1,4,1,12.0
a51589,,,,,
a51597,20240418_122318_492461,1,1,1,1,1,5,0,20.0
a51598,20240419_122639_893800,1,1,1,1,1,5,0,20.0
a51606,20240419_120513_837510,1,1,1,1,1,5,0,20.0
a51609,20240419_121729_235771,1,1,1,1,1,5,0,20.0
a51625,20240418_114543_661341,1,1,1,1,1,5,0,20.0
a51628,20240417_135055_031157,1,1,1,1,1,5,0,20.0
a51631,,,,,
a51635,20240417_134917_423828,1,1,1,1,1,5,0,20.0
a51666,20240418_122333_824290,1,1,1,1,1,5,0,20.0
a51687,20240418_123800_706314,1,1,1,1,1,5,0,20.0
a51692,20240417_135132_060708,1,1,1,1,1,5,0,20.0
a51694,20240419_123741_365875,1,1,1,1,1,5,0,20.0
a51696,20240419_113607_200903,1,1,1,1,1,5,0,20.0
a51706,,,,,
a51707,20240417_134919_358599,1,1,1,1,1,5,0,20.0
